0:   128:  Interiorização:      Teus planos
1:   0:    Novena:              Louvando a Maria
2:   12:   Acolhida:            Fico Feliz Em Vir Em Tua Casa
3:   83:   Ato Penitencial:     Compadece-te
4:   31:   Glória:              Glória a Deus Nas Alturas - Eliana Ribeiro
5:   183:  Salmo:               Sl 147
6:   39:   Aleluia:             No Princípio Era a Palavra
7:   45:   Ofertório:           A Ti Meu Deus
8:   51:   Santo:               O Senhor É Santo
9:   52:   Comunhão:            A Barca
10:  55:   Ação de Graças:      A chave do coração


